order_id,order_date,customer_name,product,category,quantity,unit_price,region,salesperson
1001,2024-01-03,Riya Sharma,Laptop,Electronics,2,55000,West,Amit
1002,2024-01-05,Amit Patel,Phone,Electronics,1,18000,North,Sneha
1003,2024-01-07,,Monitor,Electronics,3,12000,South,Rahul
1004,2024-01-10,Priya Nair,Keyboard,Accessories,,2500,East,Karan
1005,2024-01-12,Rahul Desai,Laptop,Electronics,1,55000,West,Amit
1006,invalid_date,Sneha Roy,Phone,Electronics,2,18000,North,Sneha
1007,2024-01-15,Karan Singh,Monitor,Electronics,2,12000,South,Rahul
1008,2024-01-18,Meera Joshi,Mouse,Accessories,5,1500,East,Priya
1009,2024-01-20,Arjun Mehta,Laptop,Electronics,1,55000,West,Amit
1010,2024-01-22,Divya Rao,Headphones,Accessories,3,3500,North,Sneha
1011,2024-01-25,Rohan Verma,Phone,Electronics,,18000,South,Rahul
1012,2024-01-28,Ananya Das,Keyboard,Accessories,4,2500,East,Karan
1013,2024-02-01,Siddharth Iyer,Laptop,Electronics,2,55000,West,Amit
1014,2024-02-03,Kavya Menon,Monitor,Electronics,1,12000,North,Sneha
1015,2024-02-05,,Mouse,Accessories,6,1500,South,Rahul
1016,2024-02-08,Nisha Gupta,Phone,Electronics,2,18000,East,Karan
1017,2024-02-10,Vikram Bose,Headphones,Accessories,2,3500,West,Amit
1018,2024-02-12,Pooja Pillai,Laptop,Electronics,1,55000,North,Sneha
1019,2024-02-15,Manoj Kumar,Keyboard,Accessories,3,2500,South,Rahul
1020,2024-02-18,Sunita Patil,Monitor,Electronics,,12000,East,Karan
1021,2024-02-20,Arun Nambiar,Mouse,Accessories,4,1500,West,Amit
1022,2024-02-22,Lakshmi Reddy,Phone,Electronics,1,18000,North,Sneha
1023,2024-02-25,Deepak Shah,Laptop,Electronics,3,55000,South,Rahul
1024,2024-02-28,Geeta Pillai,Headphones,Accessories,2,3500,East,Karan
1025,2024-03-02,Harish Nair,Keyboard,Accessories,5,2500,West,Amit
1026,2024-03-05,Indira Menon,Monitor,Electronics,2,12000,North,Sneha
1027,2024-03-07,Jayesh Desai,Phone,Electronics,,18000,South,Rahul
1028,2024-03-10,Kavitha Iyer,Mouse,Accessories,3,1500,East,Karan
1029,2024-03-12,Lokesh Sharma,Laptop,Electronics,1,55000,West,Amit
1030,2024-03-15,Madhu Verma,Headphones,Accessories,4,3500,North,Sneha
1031,2024-03-18,Naveen Rao,Phone,Electronics,2,18000,South,Rahul
1032,2024-03-20,Omkar Joshi,Keyboard,Accessories,,2500,East,Karan
1033,2024-03-22,Pallavi Das,Laptop,Electronics,2,55000,West,Amit
1034,2024-03-25,Qureshi Ahmed,Monitor,Electronics,3,12000,North,Sneha
1035,2024-03-28,Rekha Bose,Mouse,Accessories,6,1500,South,Rahul
1036,invalid_date,Suresh Patil,Phone,Electronics,1,18000,East,Karan
1037,2024-04-02,Tara Nambiar,Laptop,Electronics,2,55000,West,Amit
1038,2024-04-05,Uma Reddy,Headphones,Accessories,3,3500,North,Sneha
1039,2024-04-08,,Keyboard,Accessories,4,2500,South,Rahul
1040,2024-04-10,Varun Shah,Monitor,Electronics,1,12000,East,Karan
1041,2024-04-12,Waqar Ali,Phone,Electronics,2,18000,West,Amit
1042,2024-04-15,Xena Pillai,Mouse,Accessories,,1500,North,Sneha
1043,2024-04-18,Yash Menon,Laptop,Electronics,1,55000,South,Rahul
1044,2024-04-20,Zara Desai,Headphones,Accessories,2,3500,East,Karan
1045,2024-04-22,Amit Patel,Keyboard,Accessories,5,2500,West,Amit
1046,2024-04-25,Riya Sharma,Phone,Electronics,1,18000,North,Sneha
1047,2024-04-28,Priya Nair,Laptop,Electronics,2,55000,South,Rahul
1048,2024-05-01,Rahul Desai,Monitor,Electronics,3,12000,East,Karan
1049,2024-05-03,Karan Singh,Mouse,Accessories,4,1500,West,Amit
1050,2024-05-05,Meera Joshi,Phone,Electronics,2,18000,North,Sneha
1051,2024-05-08,Arjun Mehta,Headphones,Accessories,,3500,South,Rahul
1052,2024-05-10,Divya Rao,Laptop,Electronics,1,55000,East,Karan
1053,2024-05-12,Rohan Verma,Keyboard,Accessories,3,2500,West,Amit
1054,2024-05-15,Ananya Das,Monitor,Electronics,2,12000,North,Sneha
1055,2024-05-18,Siddharth Iyer,Phone,Electronics,1,18000,South,Rahul
1056,2024-05-20,Kavya Menon,Mouse,Accessories,5,1500,East,Karan
1057,2024-05-22,Nisha Gupta,Laptop,Electronics,2,55000,West,Amit
1058,2024-05-25,Vikram Bose,Headphones,Accessories,3,3500,North,Sneha
1059,invalid_date,Pooja Pillai,Keyboard,Accessories,4,2500,South,Rahul
1060,2024-05-30,Manoj Kumar,Monitor,Electronics,,12000,East,Karan
